sample_id,clause_text,toxic_clause_type,risk_level,clause_type,legal_basis,safe_counter_clause,rationale,source_page,source_kind,label_json
J015,"임차인은 입주 전 반드시 전입신고 및 확정일자를 취득하여야 하며, 미이행 시 발생하는 손해는 임차인이 부담한다.",특약사항,낮음,정상,"주택임대차보호법 제3조, 제3조의2",전입신고 및 확정일자는 임차인의 권리 보호를 위한 조치이므로 임차인에게 유리한 조항이다.,임차인의 대항력과 우선변제권 확보에 도움이 되는 보호성 조항이다.,14,pdf_original,"{""toxic_clause_type"": ""특약사항"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""주택임대차보호법 제3조, 제3조의2"", ""rationale"": ""임차인의 대항력과 우선변제권 확보에 도움이 되는 보호성 조항이다.""}"
J016,임대인은 계약 체결일로부터 임대차 기간 종료일까지 해당 부동산을 제3자에게 매매하거나 근저당을 추가 설정하지 않기로 한다.,특약사항,낮음,정상,"주택임대차보호법 제3조, 제3조의2; HUG 안심전세 권장문구",선순위 채권 추가 설정 금지 특약은 임차인에게 유리한 안전 조항이다.,담보권 추가와 소유권 변동 위험을 줄이는 안전 특약이다.,14,pdf_original,"{""toxic_clause_type"": ""특약사항"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""주택임대차보호법 제3조, 제3조의2; HUG 안심전세 권장문구"", ""rationale"": ""담보권 추가와 소유권 변동 위험을 줄이는 안전 특약이다.""}"
J017,임차인은 보증보험(HUG 전세보증보험 등) 가입 시 임대인은 가입에 필요한 서류 제공에 협조한다.,특약사항,낮음,정상,"전세사기피해자 지원 특별법, HUG 안심전세 가이드",보증보험 가입 협조 조항은 임차인 보호를 위한 권장 특약이다.,보증보험 가입 가능성을 높여 보증금 회수 안전성을 보강한다.,14,pdf_original,"{""toxic_clause_type"": ""특약사항"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""전세사기피해자 지원 특별법, HUG 안심전세 가이드"", ""rationale"": ""보증보험 가입 가능성을 높여 보증금 회수 안전성을 보강한다.""}"
J018,"임대인은 임대차 기간 중 필요한 수선을 이행하며, 단 임차인의 고의·과실로 인한 파손은 임차인이 부담한다. 또한 임차인은 냉난방 설비 및 보일러 수리비 전액을 부담하기로 한다.",수리비 세입자 부담,중간,혼합,민법 제623조,"임대인 수선 의무 부분은 정상이나, 보일러 등 핵심 설비 수리비 전가 부분은 독소 조항이다.",앞부분은 정상이나 핵심 설비 수리비 전가가 독소 요소로 결합된 혼합 조항이다.,14,pdf_original,"{""toxic_clause_type"": ""수리비 세입자 부담"", ""risk_level"": ""중간"", ""clause_type"": ""혼합"", ""legal_basis"": ""민법 제623조"", ""rationale"": ""앞부분은 정상이나 핵심 설비 수리비 전가가 독소 요소로 결합된 혼합 조항이다.""}"
J019,"임대차 계약은 기간 만료 2개월 전까지 어느 일방도 해지 통보를 하지 않으면 동일 조건으로 갱신된다. 단, 임대인이 직접 거주할 목적이 있을 경우 1개월 전 통보로 갱신을 거부할 수 있다.",묵시적 갱신 거부,중간,혼합,"주택임대차보호법 제6조, 제6조의3","묵시적 갱신 조항은 정상이나, 임대인 실거주 명목 1개월 전 갱신 거부는 법정 기한에 미달한다.",기본 구조는 정상이나 갱신 거부 통보기한이 법정 기준보다 짧다.,14,pdf_original,"{""toxic_clause_type"": ""묵시적 갱신 거부"", ""risk_level"": ""중간"", ""clause_type"": ""혼합"", ""legal_basis"": ""주택임대차보호법 제6조, 제6조의3"", ""rationale"": ""기본 구조는 정상이나 갱신 거부 통보기한이 법정 기준보다 짧다.""}"
J020,"임대인은 계약 종료 후 7일 이내에 보증금을 반환한다. 단, 임차인이 원상복구를 완료하지 않은 경우 복구 완료 시까지 보증금 반환을 유보할 수 있으며 지연 이자는 발생하지 않는다.",전세금 반환 지연 면책,중간,혼합,주택임대차보호법 제3조의2,"7일 이내 반환 부분은 정상이나, 원상복구 미완료를 이유로 한 무기한 유보와 지연 이자 면책은 독소 요소이다.",반환 시한은 제시하지만 예외를 통해 사실상 지연 책임을 회피한다.,14,pdf_original,"{""toxic_clause_type"": ""전세금 반환 지연 면책"", ""risk_level"": ""중간"", ""clause_type"": ""혼합"", ""legal_basis"": ""주택임대차보호법 제3조의2"", ""rationale"": ""반환 시한은 제시하지만 예외를 통해 사실상 지연 책임을 회피한다.""}"
J021,"임대인은 임차인의 확정일자 취득 및 전입신고에 적극 협조하며, 임대차 기간 중 선순위 근저당 추가 설정을 하지 않기로 한다.",없음,낮음,정상,"주택임대차보호법 제3조, 제3조의2; HUG 안심전세 권장문구",HUG 안심전세 권장 안전 조항,대항력·우선변제권 확보와 추가 담보권 방지에 도움이 되는 안전 특약이다. 다만 추가 근저당 금지는 직접 강행규정이라기보다 임차인 보호를 위한 권장 특약 성격이 강하다.,14,pdf_original,"{""toxic_clause_type"": ""없음"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""주택임대차보호법 제3조, 제3조의2; HUG 안심전세 권장문구"", ""rationale"": ""대항력·우선변제권 확보와 추가 담보권 방지에 도움이 되는 안전 특약이다. 다만 추가 근저당 금지는 직접 강행규정이라기보다 임차인 보호를 위한 권장 특약 성격이 강하다.""}"
J022,"보증금은 계약 종료일에 임차인에게 전액 반환하며, 지연 시 연 5%의 이자를 부담한다.",없음,낮음,정상,주택임대차보호법 제3조의2,보증금 반환 및 지연 이자 명시,보증금 반환시기와 지연 책임을 명확히 해 임차인 보호에 유리하다.,14,pdf_original,"{""toxic_clause_type"": ""없음"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""주택임대차보호법 제3조의2"", ""rationale"": ""보증금 반환시기와 지연 책임을 명확히 해 임차인 보호에 유리하다.""}"
J023,"임대인은 임대차 기간 중 구조·설비 관련 수선 의무를 지며, 임차인의 고의·과실에 의한 파손만 임차인이 부담한다.",없음,낮음,정상,민법 제623조,수선 의무 법령 준수,구조·설비 수선은 임대인이 부담하고 임차인의 귀책 부분만 예외로 두어 균형적이다.,14-15,pdf_original,"{""toxic_clause_type"": ""없음"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""민법 제623조"", ""rationale"": ""구조·설비 수선은 임대인이 부담하고 임차인의 귀책 부분만 예외로 두어 균형적이다.""}"
J024,임대차 기간 만료 2개월 전까지 어느 일방도 갱신 거절을 통보하지 않으면 계약은 동일한 조건으로 묵시 갱신된다.,없음,낮음,정상,주택임대차보호법 제6조,법정 통보기한 내 별도 거절이 없으면 묵시 갱신된다.,법정 통보기한과 묵시적 갱신 원칙을 그대로 반영한 정상 조항이다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""없음"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""주택임대차보호법 제6조"", ""rationale"": ""법정 통보기한과 묵시적 갱신 원칙을 그대로 반영한 정상 조항이다.""}"
J025,임대인은 임대차 기간 중 임차인의 귀책사유가 없는 한 일방적으로 계약을 해지할 수 없다.,없음,낮음,정상,주택임대차보호법 제4조,임대인의 일방 해지 제한,계약기간 안정성을 보장하는 임차인 보호 조항이다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""없음"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""주택임대차보호법 제4조"", ""rationale"": ""계약기간 안정성을 보장하는 임차인 보호 조항이다.""}"
J026,"계약 종료 시 임대인은 보증금 전액을 반환하고, 반환이 지연될 경우 법정 지연손해금 상당액을 부담한다.",없음,낮음,정상,주택임대차보호법 제3조의2,지연 시 이자 또는 손해배상 부담,보증금 반환 의무와 지연 책임을 명확히 해 임차인의 회수 가능성을 높인다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""없음"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""주택임대차보호법 제3조의2"", ""rationale"": ""보증금 반환 의무와 지연 책임을 명확히 해 임차인의 회수 가능성을 높인다.""}"
J027,"임대인은 기존 선순위 권리관계와 담보권 현황을 임차인에게 고지하고, 계약기간 중 추가 근저당 설정이 필요한 경우 사전에 임차인과 협의한다.",없음,낮음,정상,"주택임대차보호법 제3조, 제3조의2; HUG 안심전세 가이드",선순위 권리 고지와 사전 협의,권리관계 투명성을 높여 임차인의 예측 가능성을 보장한다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""없음"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""주택임대차보호법 제3조, 제3조의2; HUG 안심전세 가이드"", ""rationale"": ""권리관계 투명성을 높여 임차인의 예측 가능성을 보장한다.""}"
J028,"임대인은 누수, 보일러 고장, 전기 설비 하자 등 구조·설비 관련 중대한 수선을 지체 없이 이행한다.",없음,낮음,정상,민법 제623조,임대인의 구조·설비 수선 의무,임대인의 본래 수선의무를 명시해 임차인의 주거 안전을 보호한다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""없음"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""민법 제623조"", ""rationale"": ""임대인의 본래 수선의무를 명시해 임차인의 주거 안전을 보호한다.""}"
J029,임차인의 고의 또는 중대한 과실로 인한 파손을 제외한 통상적인 마모와 노후 수선은 임대인이 부담한다.,없음,낮음,정상,민법 제623조,통상 손모는 임대인 부담,통상 마모와 귀책사유를 구분해 책임 분담이 명확하다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""없음"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""민법 제623조"", ""rationale"": ""통상 마모와 귀책사유를 구분해 책임 분담이 명확하다.""}"
J030,"임대인은 임차인의 전입신고, 확정일자 취득, 보증보험 가입을 위해 필요한 서류 제출과 확인 절차에 협조한다.",없음,낮음,정상,"주택임대차보호법 제3조, 전세사기피해자 지원 특별법",전입신고·확정일자·보증보험 협조,임차인의 권리보호 절차 전반을 지원하는 정상 특약이다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""없음"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""주택임대차보호법 제3조, 전세사기피해자 지원 특별법"", ""rationale"": ""임차인의 권리보호 절차 전반을 지원하는 정상 특약이다.""}"
J031,"임대차 기간 중 임대인은 임차인의 동의 없이 선순위 담보권을 추가 설정하지 않으며, 매매가 필요한 경우 보증금 반환 계획을 사전에 설명한다.",없음,낮음,정상,"주택임대차보호법 제3조, 제3조의2; HUG 안심전세 가이드",추가 담보권 제한과 반환 계획 설명,권리변동과 보증금 회수 위험을 함께 관리하는 안전 조항이다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""없음"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""주택임대차보호법 제3조, 제3조의2; HUG 안심전세 가이드"", ""rationale"": ""권리변동과 보증금 회수 위험을 함께 관리하는 안전 조항이다.""}"
J032,"임차인이 갱신을 원하지 않을 경우 법정 기한 내 서면으로 의사를 통지할 수 있으며, 이를 하지 않으면 계약은 법령에 따라 갱신된다.",없음,낮음,정상,"주택임대차보호법 제6조, 제6조의3",법정 기한 내 갱신 거절 통지,통지 절차를 안내하되 법정 효과를 그대로 유지한다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""없음"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""주택임대차보호법 제6조, 제6조의3"", ""rationale"": ""통지 절차를 안내하되 법정 효과를 그대로 유지한다.""}"
J033,"임차인은 임대인의 서면 동의 없이 전대할 수 없으나, 위반 시 손해배상은 실제 손해 범위 내에서만 청구한다.",없음,낮음,정상,민법 제629조,전대 제한은 두되 과도한 위약금은 배제,전대 제한은 유지하면서도 제재를 과도하게 확장하지 않는다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""없음"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""민법 제629조"", ""rationale"": ""전대 제한은 유지하면서도 제재를 과도하게 확장하지 않는다.""}"
J034,"계약 종료 시 원상복구 범위는 임차인의 고의·과실로 인한 손상으로 한정하며, 통상 사용에 따른 마모는 제외한다.",없음,낮음,정상,"민법 제615조, 제654조",통상 손모 제외,원상복구 범위를 합리적으로 한정해 분쟁 가능성을 줄인다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""없음"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""민법 제615조, 제654조"", ""rationale"": ""원상복구 범위를 합리적으로 한정해 분쟁 가능성을 줄인다.""}"
J035,"임대인은 계약 종료 후 10일 이내 보증금을 반환한다. 단, 임차인의 고의 파손이 확인된 경우 그 손해액 범위에서만 정산 후 반환할 수 있다.",없음,낮음,정상,"주택임대차보호법 제3조의2, 민법 제390조",반환 시한은 정하고 실제 손해액만 공제,보증금 반환 원칙을 유지하면서도 예외를 실제 손해 범위로 제한한다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""없음"", ""risk_level"": ""낮음"", ""clause_type"": ""정상"", ""legal_basis"": ""주택임대차보호법 제3조의2, 민법 제390조"", ""rationale"": ""보증금 반환 원칙을 유지하면서도 예외를 실제 손해 범위로 제한한다.""}"
J036,"계약은 만료 2개월 전까지 갱신 거절 통지가 없으면 갱신되며, 임대인은 직접 거주 사유를 주장하더라도 법정 통보기한을 준수하여야 한다.",묵시적 갱신 거부,중간,혼합,"주택임대차보호법 제6조, 제6조의3",묵시 갱신은 정상이나 직접 거주 사유도 법정 기한을 따라야 한다.,정상 규정을 담고 있으나 실거주 거절 사유를 별도 언급해 해석 여지를 남긴다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""묵시적 갱신 거부"", ""risk_level"": ""중간"", ""clause_type"": ""혼합"", ""legal_basis"": ""주택임대차보호법 제6조, 제6조의3"", ""rationale"": ""정상 규정을 담고 있으나 실거주 거절 사유를 별도 언급해 해석 여지를 남긴다.""}"
J037,임대인은 계약기간 중 임차인의 귀책사유가 없는 한 계약을 해지할 수 없다. 다만 건물 매각이 예정된 경우 해지 일정을 협의할 수 있다.,임대인 일방 해지,중간,혼합,주택임대차보호법 제4조,기본적으로 해지 불가이나 매각을 이유로 해지 협의를 압박할 수 있다.,앞부분은 정상이나 매각 예정 사유가 사실상 중도해지 압박으로 사용될 수 있다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""임대인 일방 해지"", ""risk_level"": ""중간"", ""clause_type"": ""혼합"", ""legal_basis"": ""주택임대차보호법 제4조"", ""rationale"": ""앞부분은 정상이나 매각 예정 사유가 사실상 중도해지 압박으로 사용될 수 있다.""}"
J038,"임대인은 구조적 하자를 수선한다. 단, 보일러와 에어컨의 교체 비용은 임차인이 절반 부담한다.",수리비 세입자 부담,중간,혼합,민법 제623조,구조적 하자 수선은 정상이나 핵심 설비 교체비 분담은 임차인에게 불리하다.,일부 정상 표현이 있으나 핵심 설비 비용을 나누어 부담시키는 독소 요소가 있다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""수리비 세입자 부담"", ""risk_level"": ""중간"", ""clause_type"": ""혼합"", ""legal_basis"": ""민법 제623조"", ""rationale"": ""일부 정상 표현이 있으나 핵심 설비 비용을 나누어 부담시키는 독소 요소가 있다.""}"
J039,임대인은 계약 종료일에 보증금을 반환한다. 다만 후속 임차인과의 계약이 지연되면 반환 일정은 상호 협의한다.,전세금 반환 지연 면책,중간,혼합,주택임대차보호법 제3조의2,반환 원칙은 정상이나 후속 임차인 계약 지연을 조건으로 삼아 예외를 확장할 수 있다.,표면상 정상이나 후속 임차인을 이유로 반환 연기를 허용할 여지가 남아 있다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""전세금 반환 지연 면책"", ""risk_level"": ""중간"", ""clause_type"": ""혼합"", ""legal_basis"": ""주택임대차보호법 제3조의2"", ""rationale"": ""표면상 정상이나 후속 임차인을 이유로 반환 연기를 허용할 여지가 남아 있다.""}"
J040,임대인은 기존 근저당 내역을 고지한다. 다만 금융기관 요구가 있을 경우 임차인 통보 후 추가 담보 설정을 진행할 수 있다.,근저당 특약,중간,혼합,"주택임대차보호법 제3조, 제3조의2; HUG 안심전세 가이드",고지 의무는 정상이나 추가 담보 설정 허용은 임차인의 후순위 위험을 높일 수 있다.,투명성은 있으나 추가 근저당을 허용하는 부분이 위험하다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""근저당 특약"", ""risk_level"": ""중간"", ""clause_type"": ""혼합"", ""legal_basis"": ""주택임대차보호법 제3조, 제3조의2; HUG 안심전세 가이드"", ""rationale"": ""투명성은 있으나 추가 근저당을 허용하는 부분이 위험하다.""}"
J041,"임차인은 전입신고와 확정일자를 취득한다. 단, 임대인이 요청하는 경우 일정 기간 전입신고를 유예할 수 있다.",특약사항,중간,혼합,"주택임대차보호법 제3조, 제3조의2",전입신고 권장 자체는 정상이나 유예 허용은 대항력 취득을 지연시킨다.,보호 절차를 언급하지만 실질적으로 권리 취득을 미루게 만들 수 있다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""특약사항"", ""risk_level"": ""중간"", ""clause_type"": ""혼합"", ""legal_basis"": ""주택임대차보호법 제3조, 제3조의2"", ""rationale"": ""보호 절차를 언급하지만 실질적으로 권리 취득을 미루게 만들 수 있다.""}"
J042,"임차인은 보증보험 가입을 추진할 수 있으며, 임대인은 필요 서류를 제공한다. 다만 심사 결과가 불리할 경우 임대인은 협조 의무를 중단할 수 있다.",특약사항,중간,혼합,"전세사기피해자 지원 특별법, HUG 안심전세 가이드",기본 협조는 정상이나 임대인이 일방적으로 협조를 중단할 수 있는 예외가 문제다.,앞부분은 안전하지만 예외 조항이 보증보험 가입을 무력화할 수 있다.,augmented,synthetic_augmented,"{""toxic_clause_type"": ""특약사항"", ""risk_level"": ""중간"", ""clause_type"": ""혼합"", ""legal_basis"": ""전세사기피해자 지원 특별법, HUG 안심전세 가이드"", ""rationale"": ""앞부분은 안전하지만 예외 조항이 보증보험 가입을 무력화할 수 있다.""}"
